era	period	epoch	age	from
Cenozoic 	Quaternary 	Holocene		0.0117
Cenozoic 	Quaternary 	Pleistocene		2.58
Cenozoic 	Neogene	Pliocene		5.333
Cenozoic 	Neogene	Miocene		23.03
Cenozoic 	Paleogene	Oligocene		33.9
Cenozoic 	Paleogene	Eocene		56
Cenozoic 	Paleogene	Paleocene		66
Mesozoic	Cretaceous 	Late		100
Mesozoic	Cretaceous 	Early 		145
Mesozoic	Jurassic 	Late		163
Mesozoic	Jurassic 	Middle 		175
Mesozoic	Jurassic 	Early 		201.4
Mesozoic	Triassic	Late	Rhaetian	208.5
Mesozoic	Triassic	Late	Norian	227
Mesozoic	Triassic	Late	Carnian	237
Mesozoic	Triassic	Middle 	Ladinian	242
Mesozoic	Triassic	Middle 	Anisian	247.2
Mesozoic	Triassic	Early	Olenekian	251.2
Mesozoic	Triassic	Early	Induan	251.9
Paleozoic 	Permian			299
Paleozoic 	Carboniferous			359
Paleozoic 	Devonian			419
Paleozoic 	Silurian			443.8
Paleozoic 	Ordovician			485.4
Paleozoic 	Cambrian			538.8
